session_id,user_id,session_start,session_duration_min
S00117,U0012,12-01-2025,8
S00118,U0012,13-07-2025,17
S00119,U0012,07-01-2025,6
S00120,U0012,13-01-2025,7
S00121,U0012,04-04-2025,10
S00122,U0012,19-08-2025,14
S00123,U0012,04-10-2025,10
S00124,U0012,07-02-2025,6
S00125,U0012,11-04-2025,11
S00126,U0012,15-03-2025,8
S00127,U0012,04-01-2025,3
S00128,U0013,18-06-2025,18
S00129,U0013,11-12-2025,8
S00130,U0013,15-12-2025,12
S00131,U0013,06-11-2025,18
S00132,U0013,18-11-2025,11
S00133,U0013,15-11-2025,12
S00134,U0013,06-04-2025,6
S00135,U0013,12-07-2025,6
S00136,U0013,03-08-2025,13
S00137,U0013,21-01-2025,6
S00138,U0013,04-12-2025,11
S00139,U0013,20-06-2025,14
S00140,U0014,10-01-2025,12
S00141,U0014,17-10-2025,11
S00142,U0014,15-03-2025,11
S00143,U0014,13-06-2025,6
S00144,U0014,03-07-2025,20
S00145,U0014,08-09-2025,4
S00146,U0014,13-05-2025,12
S00147,U0014,21-05-2025,19
S00148,U0014,02-07-2025,9
S00149,U0014,08-10-2025,4
S00150,U0014,18-10-2025,12
S00151,U0014,01-06-2025,5
S00152,U0015,19-08-2025,6
S00153,U0015,13-05-2025,10
S00154,U0015,21-07-2025,11
S00155,U0015,22-08-2025,20
S00156,U0015,20-03-2025,7
S00157,U0015,03-04-2025,11
S00158,U0015,08-03-2025,12
S00159,U0015,23-03-2025,5
S00160,U0015,17-04-2025,10
S00161,U0015,12-06-2025,10
S00162,U0015,07-09-2025,3
S00163,U0015,08-10-2025,9
S00164,U0015,13-02-2025,3
S00165,U0016,04-05-2025,4
S00166,U0016,22-12-2025,8
S00167,U0016,17-08-2025,7
S00168,U0016,24-08-2025,9
S00169,U0016,18-04-2025,19
S00170,U0016,27-11-2025,15
S00171,U0016,12-07-2025,7
S00172,U0016,22-09-2025,6
S00173,U0016,17-07-2025,5
S00174,U0016,18-11-2025,8
S00175,U0016,21-02-2025,5
S00176,U0016,14-07-2025,14
S00177,U0016,06-01-2025,6
S00178,U0016,20-10-2025,14
S00179,U0017,19-12-2025,10
S00180,U0017,14-10-2025,16
S00181,U0017,12-09-2025,13
S00182,U0017,18-04-2025,12
S00183,U0017,23-02-2025,13
S00184,U0017,11-10-2025,19
S00185,U0017,12-03-2025,10
S00186,U0017,13-01-2025,6
S00187,U0017,08-11-2025,12
S00188,U0017,29-09-2025,8
S00189,U0017,26-03-2025,10
S00190,U0017,07-10-2025,16
S00191,U0017,15-12-2025,19
S00192,U0018,16-09-2025,5
S00193,U0018,04-08-2025,12
S00194,U0018,11-04-2025,16
S00195,U0018,11-07-2025,10
S00196,U0018,08-09-2025,18
S00197,U0018,09-05-2025,7
S00198,U0018,13-11-2025,4
S00199,U0019,07-01-2025,11
S00200,U0019,10-02-2025,8
S00201,U0019,19-06-2025,13
S00202,U0019,01-09-2025,13
S00203,U0019,24-03-2025,10
S00204,U0019,22-02-2025,11
S00205,U0020,30-07-2025,6
S00206,U0020,12-06-2025,20
S00207,U0020,14-10-2025,13
S00208,U0020,17-03-2025,7
S00209,U0020,15-12-2025,18
S00210,U0020,07-10-2025,10
S00211,U0021,10-12-2025,3
S00212,U0021,19-04-2025,7
S00213,U0021,02-06-2025,8
S00214,U0021,17-07-2025,10
S00215,U0021,14-04-2025,18
S00216,U0022,10-11-2025,8
S00217,U0022,19-12-2025,10
S00218,U0022,16-02-2025,8
S00219,U0022,03-04-2025,5
S00220,U0022,13-01-2025,14
S00221,U0022,26-03-2025,4
S00222,U0022,13-03-2025,7
S00223,U0022,18-09-2025,12
S00224,U0023,04-06-2025,10
S00225,U0023,05-09-2025,11
S00226,U0023,20-02-2025,10
S00227,U0023,03-12-2025,8
S00228,U0024,23-02-2025,16
S00229,U0024,20-06-2025,9
S00230,U0024,04-09-2025,10
S00231,U0024,22-08-2025,9
S00232,U0024,09-05-2025,18
S00233,U0024,12-10-2025,5
S00234,U0025,30-11-2025,20
S00235,U0025,04-02-2025,3
S00236,U0025,25-05-2025,10
S00237,U0025,12-10-2025,17
S00238,U0025,21-06-2025,6
S00239,U0025,26-01-2025,7
S00240,U0025,23-10-2025,10
S00241,U0025,15-12-2025,5
S00242,U0025,15-12-2025,7
S00243,U0025,13-12-2025,6
S00244,U0025,01-08-2025,13
S00245,U0026,05-03-2025,10
S00246,U0026,01-11-2025,4
S00247,U0026,28-11-2025,8
S00248,U0026,22-09-2025,9
S00249,U0026,02-04-2025,9
S00250,U0026,19-08-2025,18
S00251,U0026,09-11-2025,20
S00252,U0026,19-10-2025,8
S00253,U0026,11-06-2025,7
S00254,U0026,26-01-2025,15
S00255,U0026,07-02-2025,7
S00256,U0026,09-09-2025,5
S00257,U0026,03-05-2025,10
S00258,U0026,06-08-2025,6
S00259,U0026,14-01-2025,7
S00260,U0027,10-06-2025,8
S00261,U0027,31-01-2025,9
S00262,U0027,11-11-2025,18
S00263,U0027,09-03-2025,4
S00264,U0027,15-05-2025,3
S00265,U0028,01-02-2025,9
S00266,U0028,15-02-2025,3
S00267,U0028,08-11-2025,12
S00268,U0028,10-02-2025,6
S00269,U0028,11-04-2025,19
S00270,U0028,05-03-2025,12
S00271,U0028,10-12-2025,3
S00272,U0028,27-03-2025,19
S00273,U0028,04-07-2025,4
S00274,U0028,30-07-2025,7
S00275,U0028,25-01-2025,6
S00276,U0028,05-11-2025,11
S00277,U0029,19-12-2025,15
S00278,U0029,14-10-2025,10
S00279,U0029,11-08-2025,13
S00280,U0029,12-07-2025,10
S00281,U0029,08-03-2025,3
S00282,U0029,08-05-2025,18
S00283,U0029,19-09-2025,15
S00284,U0029,12-10-2025,7
S00285,U0029,01-11-2025,3
S00286,U0029,03-09-2025,3
S00287,U0029,28-10-2025,16
S00288,U0029,02-02-2025,17
S00289,U0029,29-08-2025,20
S00290,U0030,02-09-2025,13
S00291,U0030,15-08-2025,6
S00292,U0030,20-08-2025,8
S00293,U0030,30-10-2025,13
S00294,U0030,26-05-2025,9
S00295,U0030,16-03-2025,10
S00296,U0030,02-05-2025,4
S00297,U0030,25-02-2025,8
S00298,U0031,15-09-2025,9
S00299,U0031,18-11-2025,7
S00300,U0031,20-05-2025,6
S00301,U0031,04-03-2025,11
S00302,U0031,21-04-2025,11
S00303,U0031,05-09-2025,9
S00304,U0031,15-07-2025,18
S00305,U0031,04-04-2025,17
S00306,U0031,23-04-2025,6
S00307,U0031,11-01-2025,6
S00308,U0031,08-06-2025,7
S00309,U0031,10-07-2025,6
S00310,U0031,12-07-2025,17
S00311,U0031,29-11-2025,7
S00312,U0031,18-09-2025,20
S00313,U0032,14-05-2025,7
S00314,U0032,03-10-2025,10
S00315,U0032,10-10-2025,13
S00316,U0032,18-07-2025,19
S00317,U0032,29-10-2025,5
S00318,U0032,03-03-2025,11
S00319,U0032,22-07-2025,4
S00320,U0032,14-04-2025,11
S00321,U0032,15-07-2025,12
S00322,U0032,26-05-2025,12
S00323,U0032,21-07-2025,17
S00324,U0033,02-03-2025,8
S00325,U0033,17-06-2025,7
S00326,U0033,26-04-2025,6
S00327,U0033,22-03-2025,11
S00328,U0033,07-06-2025,9
S00329,U0033,05-02-2025,10
S00330,U0033,21-08-2025,12
S00331,U0033,30-09-2025,4
S00332,U0034,09-11-2025,11
S00333,U0034,16-08-2025,4
S00334,U0034,14-06-2025,10
S00335,U0034,22-03-2025,4
S00336,U0034,11-07-2025,12
S00337,U0034,02-11-2025,14
S00338,U0034,21-12-2025,20
S00339,U0034,09-06-2025,5
S00340,U0034,03-02-2025,8
S00341,U0034,25-05-2025,17
S00342,U0034,16-11-2025,20
S00343,U0034,22-04-2025,16
S00344,U0035,10-08-2025,6
S00345,U0035,09-01-2025,9
S00346,U0035,07-06-2025,4
S00347,U0035,07-09-2025,19
S00348,U0035,08-06-2025,11
S00349,U0036,29-11-2025,9
S00350,U0036,01-09-2025,16
S00351,U0036,21-04-2025,11
S00352,U0036,19-09-2025,17
S00353,U0036,16-10-2025,14
S00354,U0036,16-12-2025,8
S00355,U0036,17-03-2025,10
S00356,U0036,15-10-2025,8
S00357,U0036,04-11-2025,14
S00358,U0037,13-09-2025,5
S00359,U0037,30-08-2025,9
S00360,U0037,06-01-2025,3
S00361,U0037,03-07-2025,14
S00362,U0037,31-01-2025,7
S00363,U0037,11-05-2025,4
S00364,U0037,26-01-2025,11
S00365,U0037,01-02-2025,3
S00366,U0037,05-07-2025,7
S00367,U0037,10-10-2025,11
S00368,U0037,14-01-2025,16
S00369,U0037,03-05-2025,20
S00370,U0037,26-01-2025,4
S00371,U0037,06-10-2025,14
S00372,U0038,21-09-2025,12
S00373,U0038,05-09-2025,14
S00374,U0038,01-10-2025,16
S00375,U0038,05-07-2025,7
S00376,U0038,15-03-2025,11
S00377,U0038,13-11-2025,19
S00378,U0038,29-08-2025,5
S00379,U0038,10-06-2025,4
S00380,U0038,23-05-2025,8
S00381,U0038,17-02-2025,16
S00382,U0039,04-07-2025,5
S00383,U0039,09-08-2025,13
S00384,U0039,24-05-2025,5
S00385,U0039,21-06-2025,3
S00386,U0039,30-07-2025,3
S00387,U0039,23-04-2025,3
S00388,U0039,03-09-2025,20
S00389,U0039,01-05-2025,11
S00390,U0039,03-09-2025,17
S00391,U0039,12-02-2025,18
S00392,U0039,19-11-2025,12
S00393,U0039,03-10-2025,7
S00394,U0039,26-04-2025,12
S00395,U0040,08-10-2025,10
S00396,U0040,30-10-2025,10
S00397,U0040,06-12-2025,8
S00398,U0040,04-10-2025,12
S00399,U0040,23-07-2025,18
S00400,U0040,26-04-2025,7
S00401,U0040,21-12-2025,8
S00402,U0040,26-04-2025,11
S00403,U0040,13-01-2025,12
S00404,U0040,05-08-2025,17
S00405,U0041,04-09-2025,5
S00406,U0041,25-07-2025,10
S00407,U0041,30-08-2025,10
S00408,U0041,28-11-2025,12
S00409,U0041,08-03-2025,3
S00410,U0041,03-06-2025,7
S00411,U0041,02-02-2025,11
S00412,U0041,20-08-2025,5
S00413,U0041,22-07-2025,6
S00414,U0041,23-05-2025,6
S00415,U0041,16-03-2025,20
S00416,U0041,28-11-2025,8
S00417,U0042,25-06-2025,15
S00418,U0042,24-02-2025,19
S00419,U0042,20-12-2025,16
S00420,U0042,21-11-2025,9
S00421,U0042,04-10-2025,6
S00422,U0042,01-10-2025,5
S00423,U0043,17-01-2025,18
S00424,U0043,07-02-2025,12
S00425,U0043,09-09-2025,9
S00426,U0043,04-06-2025,4
S00427,U0043,28-09-2025,12
S00428,U0043,30-08-2025,17
S00429,U0043,16-04-2025,5
S00430,U0043,22-04-2025,7
S00431,U0043,07-06-2025,10
S00432,U0043,31-05-2025,9
S00433,U0044,20-03-2025,16
S00434,U0044,09-03-2025,4
S00435,U0044,10-11-2025,6
S00436,U0044,15-09-2025,9
S00437,U0044,28-09-2025,11
S00438,U0044,15-12-2025,9
S00439,U0044,27-03-2025,8
S00440,U0044,23-01-2025,10
S00441,U0045,21-12-2025,6
S00442,U0045,05-03-2025,17
S00443,U0045,23-09-2025,20
S00444,U0045,08-11-2025,4
S00445,U0045,18-04-2025,11
S00446,U0045,18-06-2025,13
S00447,U0045,12-02-2025,3
S00448,U0046,22-09-2025,9
S00449,U0046,18-03-2025,5
S00450,U0046,31-10-2025,10
S00451,U0046,07-10-2025,6
S00452,U0046,03-03-2025,7
S00453,U0046,03-11-2025,19
S00454,U0046,13-02-2025,6
S00455,U0046,27-11-2025,6
S00456,U0046,10-08-2025,7
S00457,U0046,10-07-2025,12
S00458,U0046,13-08-2025,12
S00459,U0047,26-03-2025,16
S00460,U0047,13-02-2025,16
S00461,U0047,20-03-2025,3
S00462,U0047,20-03-2025,9
S00463,U0047,12-07-2025,20
S00464,U0047,18-02-2025,11
S00465,U0047,10-05-2025,9
S00466,U0048,20-05-2025,15
S00467,U0048,05-07-2025,5
S00468,U0048,21-07-2025,17
S00469,U0048,20-09-2025,5
S00470,U0048,18-09-2025,13
S00471,U0048,01-10-2025,8
S00472,U0048,29-11-2025,16
S00473,U0048,05-04-2025,8
S00474,U0048,17-06-2025,7
S00475,U0048,26-01-2025,4
S00476,U0048,13-11-2025,11
S00477,U0048,22-07-2025,13
S00478,U0048,18-07-2025,20
S00479,U0048,07-08-2025,12
S00480,U0049,04-03-2025,8
S00481,U0049,19-01-2025,20
S00482,U0049,17-05-2025,8
S00483,U0049,18-06-2025,10
S00484,U0049,15-12-2025,9
S00485,U0049,02-05-2025,16
S00486,U0049,15-03-2025,8
S00487,U0049,07-07-2025,9
S00488,U0050,01-01-2025,17
S00489,U0050,05-03-2025,11
S00490,U0050,05-11-2025,20
S00491,U0050,09-05-2025,16
S00492,U0050,28-10-2025,18
S00493,U0050,09-03-2025,5
S00494,U0050,15-04-2025,3
S00495,U0050,19-11-2025,19
S00496,U0050,31-01-2025,11
S00497,U0050,01-01-2025,5
S00498,U0050,04-04-2025,7
S00499,U0050,22-12-2025,9
S00500,U0050,04-04-2025,8
S00501,U0050,22-09-2025,3
S00502,U0051,17-12-2025,11
S00503,U0051,09-10-2025,20
S00504,U0051,06-08-2025,20
S00505,U0051,19-12-2025,9
S00506,U0051,11-08-2025,14
S00507,U0051,24-02-2025,19
S00508,U0051,20-06-2025,11
S00509,U0051,24-03-2025,13
S00510,U0051,10-11-2025,10
S00511,U0051,23-04-2025,5
S00512,U0051,31-10-2025,5
S00513,U0051,20-11-2025,5
S00514,U0051,12-06-2025,12
S00515,U0052,22-11-2025,9
S00516,U0052,17-02-2025,10
S00517,U0052,25-05-2025,11
S00518,U0052,17-01-2025,9
S00519,U0052,20-08-2025,8
S00520,U0052,25-02-2025,16
S00521,U0052,03-05-2025,8
S00522,U0053,18-02-2025,6
S00523,U0053,03-03-2025,18
S00524,U0053,19-02-2025,5
S00525,U0053,11-03-2025,15
S00526,U0053,19-07-2025,15
S00527,U0053,13-09-2025,9
S00528,U0053,03-04-2025,8
S00529,U0053,15-01-2025,14
S00530,U0053,15-11-2025,9
S00531,U0053,20-11-2025,8
S00532,U0053,15-06-2025,7
S00533,U0053,16-05-2025,6
S00534,U0053,15-07-2025,10
S00535,U0053,03-05-2025,12
S00536,U0054,10-06-2025,6
S00537,U0054,08-07-2025,8
S00538,U0054,18-10-2025,9
S00539,U0054,12-10-2025,8
S00540,U0054,03-11-2025,4
S00541,U0054,17-09-2025,18
S00542,U0054,21-07-2025,8
S00543,U0055,04-12-2025,18
S00544,U0055,20-05-2025,12
S00545,U0055,09-05-2025,6
S00546,U0055,08-07-2025,16
S00547,U0055,06-03-2025,8
S00548,U0055,19-04-2025,16
S00549,U0055,12-10-2025,5
S00550,U0055,16-01-2025,11
S00551,U0056,02-10-2025,3
S00552,U0056,02-07-2025,9
S00553,U0056,24-04-2025,9
S00554,U0056,10-10-2025,8
S00555,U0056,30-07-2025,18
S00556,U0056,04-10-2025,8
S00557,U0056,12-07-2025,6
S00558,U0056,07-01-2025,9
S00559,U0056,06-05-2025,4
S00560,U0056,16-07-2025,16
S00561,U0056,29-08-2025,20
S00562,U0057,24-07-2025,8
S00563,U0057,02-04-2025,8
S00564,U0057,07-03-2025,10
S00565,U0057,08-03-2025,5
S00566,U0057,05-01-2025,9
S00567,U0057,07-04-2025,6
S00568,U0057,19-12-2025,12
S00569,U0057,17-10-2025,11
S00570,U0058,10-03-2025,3
S00571,U0058,09-03-2025,7
S00572,U0058,15-05-2025,18
S00573,U0058,03-01-2025,8
S00574,U0059,12-01-2025,9
S00575,U0059,12-09-2025,13
S00576,U0059,03-10-2025,8
S00577,U0059,12-09-2025,13
S00578,U0059,23-10-2025,9
S00579,U0059,20-12-2025,13
S00580,U0059,25-02-2025,4
S00581,U0059,16-02-2025,6
S00582,U0060,11-09-2025,4
S00583,U0060,08-08-2025,6
S00584,U0060,17-10-2025,8
S00585,U0060,23-07-2025,11
S00586,U0060,05-05-2025,5
S00587,U0060,22-11-2025,16
S00588,U0060,07-04-2025,19
S00589,U0060,10-01-2025,13
S00590,U0060,12-01-2025,18
S00591,U0060,19-02-2025,10
S00592,U0060,18-11-2025,12
S00593,U0060,09-08-2025,8
S00594,U0060,04-02-2025,8
S00595,U0060,06-03-2025,4
S00596,U0060,06-07-2025,8
S00597,U0061,10-10-2025,13
S00598,U0061,22-03-2025,12
S00599,U0061,20-05-2025,11
S00600,U0061,21-04-2025,6
S00601,U0061,04-03-2025,5
S00602,U0061,27-03-2025,7
S00603,U0061,22-02-2025,9
S00604,U0061,01-05-2025,7
S00605,U0061,28-10-2025,8
S00606,U0061,13-08-2025,9
S00607,U0061,13-05-2025,7
S00608,U0061,10-12-2025,6
S00609,U0061,04-09-2025,10
S00610,U0061,22-10-2025,7
S00611,U0061,03-08-2025,15
S00612,U0062,03-12-2025,6
S00613,U0062,02-12-2025,8
S00614,U0062,08-09-2025,9
S00615,U0062,18-04-2025,14
S00616,U0062,03-10-2025,18
S00617,U0062,07-07-2025,11
S00618,U0062,17-09-2025,20
S00619,U0062,31-10-2025,20
S00620,U0062,31-01-2025,11
S00621,U0062,05-03-2025,11
S00622,U0062,05-06-2025,17
S00623,U0062,19-12-2025,20
S00624,U0063,20-11-2025,8
S00625,U0063,08-05-2025,13
S00626,U0063,18-07-2025,14
S00627,U0063,01-12-2025,8
S00628,U0063,17-07-2025,15
S00629,U0063,16-09-2025,8
S00630,U0063,17-11-2025,17
S00631,U0063,17-10-2025,16
S00632,U0063,17-10-2025,14
S00633,U0063,16-11-2025,7
S00634,U0064,23-10-2025,7
S00635,U0064,18-09-2025,12
S00636,U0064,12-02-2025,14
S00637,U0064,23-09-2025,11
S00638,U0064,13-01-2025,12
S00639,U0064,24-02-2025,11
S00640,U0064,22-11-2025,7
S00641,U0065,20-04-2025,10
S00642,U0065,09-09-2025,9
S00643,U0065,02-01-2025,8
S00644,U0065,12-01-2025,11
S00645,U0065,15-04-2025,20
S00646,U0065,21-01-2025,5
S00647,U0065,01-01-2025,9
S00648,U0065,09-05-2025,6
S00649,U0065,10-09-2025,3
S00650,U0065,15-07-2025,9
S00651,U0065,21-04-2025,13
S00652,U0065,22-11-2025,6
S00653,U0066,16-01-2025,10
S00654,U0066,04-04-2025,19
S00655,U0066,22-02-2025,5
S00656,U0066,04-08-2025,14
S00657,U0066,08-09-2025,8
S00658,U0066,12-02-2025,11
S00659,U0066,18-09-2025,12
S00660,U0066,03-11-2025,10
S00661,U0066,20-12-2025,10
S00662,U0067,05-08-2025,12
S00663,U0067,29-08-2025,11
S00664,U0067,21-04-2025,8
S00665,U0067,13-09-2025,8
S00666,U0067,11-09-2025,4
S00667,U0067,10-07-2025,8
S00668,U0067,12-11-2025,9
S00669,U0067,05-07-2025,15
S00670,U0067,07-04-2025,12
S00671,U0067,08-07-2025,12
S00672,U0067,23-01-2025,11
S00673,U0067,06-08-2025,6
S00674,U0067,05-03-2025,9
S00675,U0068,22-03-2025,11
S00676,U0068,04-08-2025,11
S00677,U0068,18-03-2025,6
S00678,U0068,22-08-2025,20
S00679,U0068,04-02-2025,6
S00680,U0068,01-08-2025,8
S00681,U0068,11-05-2025,18
S00682,U0068,02-02-2025,16
S00683,U0069,24-02-2025,12
S00684,U0069,08-02-2025,3
S00685,U0069,20-11-2025,8
S00686,U0069,13-07-2025,8
S00687,U0069,07-11-2025,6
S00688,U0069,07-11-2025,9
S00689,U0069,03-02-2025,12
S00690,U0069,08-08-2025,11
S00691,U0069,17-06-2025,17
S00692,U0069,05-08-2025,8
S00693,U0069,13-09-2025,9
S00694,U0069,06-02-2025,12
S00695,U0070,07-06-2025,3
S00696,U0070,02-07-2025,10
S00697,U0070,20-02-2025,19
S00698,U0070,11-06-2025,7
S00699,U0070,05-09-2025,13
S00700,U0070,17-09-2025,16
S00701,U0070,06-05-2025,7
S00702,U0071,09-08-2025,11
S00703,U0071,06-11-2025,6
S00704,U0071,07-01-2025,3
S00705,U0071,01-04-2025,9
S00706,U0071,02-08-2025,9
S00707,U0071,11-10-2025,12
S00708,U0071,18-03-2025,10
S00709,U0071,03-06-2025,18
S00710,U0071,01-04-2025,18
S00711,U0071,25-02-2025,19
S00712,U0071,07-01-2025,15
S00713,U0071,16-02-2025,10
S00714,U0071,16-06-2025,9
S00715,U0071,20-01-2025,7
S00716,U0071,19-03-2025,8
S00717,U0072,03-05-2025,19
S00718,U0072,29-09-2025,10
S00719,U0072,21-08-2025,10
S00720,U0072,30-10-2025,17
S00721,U0073,19-01-2025,9
S00722,U0073,11-10-2025,8
S00723,U0073,26-05-2025,3
S00724,U0073,17-12-2025,9
S00725,U0073,03-07-2025,3
S00726,U0073,02-11-2025,8
S00727,U0073,13-04-2025,7
S00728,U0073,28-09-2025,10
S00729,U0073,01-01-2025,10
S00730,U0073,07-03-2025,11
S00731,U0073,13-12-2025,16
S00732,U0074,10-12-2025,7
S00733,U0074,08-05-2025,5
S00734,U0074,26-05-2025,5
S00735,U0074,05-01-2025,12
S00736,U0074,25-03-2025,15
S00737,U0074,04-08-2025,9
S00738,U0074,12-08-2025,15
S00739,U0074,22-01-2025,8
S00740,U0075,31-10-2025,14
S00741,U0075,05-02-2025,9
S00742,U0075,19-09-2025,10
S00743,U0075,17-01-2025,10
S00744,U0075,14-11-2025,7
S00745,U0075,02-10-2025,6
S00746,U0075,07-06-2025,11
S00747,U0075,07-02-2025,12
S00748,U0075,24-04-2025,17
S00749,U0075,10-06-2025,18
S00750,U0075,19-12-2025,15
S00751,U0075,25-07-2025,4
S00752,U0075,17-12-2025,8
S00753,U0076,14-11-2025,17
S00754,U0076,11-09-2025,12
S00755,U0076,14-10-2025,9
S00756,U0076,15-04-2025,14
S00757,U0076,16-06-2025,18
S00758,U0076,28-10-2025,8
S00759,U0076,17-10-2025,12
S00760,U0076,24-03-2025,11
S00761,U0076,21-12-2025,17
S00762,U0076,12-09-2025,10
S00763,U0076,15-02-2025,20
S00764,U0076,14-04-2025,6
S00765,U0076,01-01-2025,12
S00766,U0077,19-03-2025,11
S00767,U0077,20-02-2025,11
S00768,U0077,03-07-2025,12
S00769,U0077,02-01-2025,6
S00770,U0077,21-10-2025,11
S00771,U0077,08-12-2025,12
S00772,U0077,25-04-2025,3
S00773,U0077,16-03-2025,19
S00774,U0077,15-06-2025,17
S00775,U0077,02-07-2025,14
S00776,U0077,18-12-2025,16
S00777,U0077,11-07-2025,8
S00778,U0078,12-08-2025,19
S00779,U0078,16-05-2025,16
S00780,U0078,07-09-2025,10
S00781,U0078,10-04-2025,9
S00782,U0078,02-09-2025,8
S00783,U0078,05-06-2025,5
S00784,U0078,19-11-2025,16
S00785,U0078,21-02-2025,6
S00786,U0078,02-09-2025,9
S00787,U0078,17-05-2025,17
S00788,U0078,17-07-2025,12
S00789,U0078,12-01-2025,6
S00790,U0078,09-03-2025,9
S00791,U0079,20-12-2025,12
S00792,U0079,06-04-2025,9
S00793,U0079,10-04-2025,9
S00794,U0079,22-08-2025,13
S00795,U0079,20-02-2025,8
S00796,U0080,24-01-2025,12
S00797,U0080,11-06-2025,7
S00798,U0080,07-06-2025,4
S00799,U0080,19-03-2025,19
S00800,U0080,23-01-2025,9
S00801,U0080,03-08-2025,16
S00802,U0080,18-10-2025,10
S00803,U0080,09-08-2025,9
S00804,U0080,06-01-2025,11
S00805,U0080,15-08-2025,7
S00806,U0080,26-04-2025,9
S00807,U0080,26-01-2025,18
S00808,U0080,18-11-2025,12
S00809,U0081,10-02-2025,19
S00810,U0081,14-03-2025,3
S00811,U0081,13-11-2025,8
S00812,U0081,20-12-2025,11
S00813,U0081,18-05-2025,6
S00814,U0081,23-10-2025,11
S00815,U0082,14-12-2025,12
S00816,U0082,22-04-2025,9
S00817,U0082,16-05-2025,5
S00818,U0082,23-10-2025,7
S00819,U0082,14-08-2025,8
S00820,U0082,20-07-2025,18
S00821,U0082,05-01-2025,12
